multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11   29.096    2.645   29.096    2.645 {built-in method posix.waitpid}
170244/32328    2.376    0.000    2.376    0.000 cyclic.py:34(db)
    87840    1.470    0.000    3.587    0.000 encoder.py:413(_iterencode)
    87840    1.367    0.000    2.022    0.000 encoder.py:333(_iterencode_dict)
    41040    1.136    0.000    1.898    0.000 random.py:250(_randbelow_with_getrandbits)
    33768    0.845    0.000    2.630    0.000 random.py:285(choice)
     2440    0.794    0.000    4.581    0.002 encoder.py:182(encode)
    85877    0.676    0.000    0.677    0.000 {built-in method builtins.isinstance}
    32328    0.547    0.000    3.057    0.000 bufferoverflow_mutator.py:35(<genexpr>)
    54387    0.438    0.000    0.438    0.000 {method 'getrandbits' of '_random.Random' objects}
     1507    0.409    0.000    0.409    0.000 {built-in method posix.stat}
41802/41383    0.339    0.000    0.346    0.000 {built-in method builtins.len}
     6511    0.331    0.000    3.392    0.001 {method 'join' of 'str' objects}
    41046    0.327    0.000    0.327    0.000 {method 'bit_length' of 'int' objects}
     1809    0.298    0.000    6.641    0.004 bufferoverflow_mutator.py:11(mutate)
    38762    0.293    0.000    0.293    0.000 {method 'append' of 'list' objects}
       72    0.251    0.003    2.623    0.036 iters.py:72(take)
    21952    0.179    0.000    0.179    0.000 {built-in method _json.encode_basestring_ascii}
     7272    0.138    0.000    0.521    0.000 random.py:200(randrange)
     7272    0.133    0.000    0.655    0.000 random.py:244(randint)
      900    0.104    0.000    0.770    0.001 random_byte_mutator.py:9(byte_flip)
     3155    0.090    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     3155    0.086    0.000    0.262    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      573    0.085    0.000    0.637    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
   220/66    0.082    0.000    0.334    0.005 sre_parse.py:493(_parse)
4889/2441    0.078    0.000    6.146    0.003 json_handler.py:31(mutate_structure)
     2440    0.075    0.000    4.679    0.002 __init__.py:183(dumps)
     2745    0.071    0.000   12.336    0.004 json_handler.py:61(generate_input)
     2440    0.071    0.000    0.135    0.000 encoder.py:204(iterencode)
     6932    0.058    0.000    0.058    0.000 {method 'rstrip' of 'str' objects}
       41    0.058    0.001    0.068    0.002 {built-in method io.open}
     3224    0.055    0.000    0.084    0.000 sre_parse.py:254(get)
   388/60    0.048    0.000    0.151    0.003 sre_compile.py:71(_compile)
     2440    0.046    0.000    0.065    0.000 encoder.py:259(_make_iterencode)
      301    0.041    0.000    0.041    0.000 {built-in method io.open_code}
      301    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
     2346    0.041    0.000    0.062    0.000 sre_parse.py:164(__getitem__)
     2441    0.040    0.000    6.107    0.003 json_handler.py:42(mutate_dict)
     4196    0.040    0.000    0.041    0.000 {built-in method builtins.getattr}
     2448    0.039    0.000    6.029    0.002 json_handler.py:54(mutate_elem)
  798/792    0.037    0.000    0.541    0.001 {built-in method builtins.__build_class__}
      602    0.036    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
  350/323    0.035    0.000    1.001    0.003 <frozen importlib._bootstrap>:890(_find_spec)
     3801    0.035    0.000    0.035    0.000 sre_parse.py:233(__next)
      340    0.035    0.000    0.157    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     3767    0.032    0.000    0.032    0.000 {method 'startswith' of 'str' objects}
