multi-process
fuzzer-multi-pls-bro
         1675627 function calls (1390308 primitive calls) in 52.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21   23.580    1.123   23.580    1.123 {method 'acquire' of '_thread.lock' objects}
340488/64656    5.094    0.000    5.094    0.000 cyclic.py:34(db)
   175680    3.020    0.000    7.399    0.000 encoder.py:413(_iterencode)
   175680    2.827    0.000    4.180    0.000 encoder.py:333(_iterencode_dict)
    82128    2.356    0.000    3.955    0.000 random.py:250(_randbelow_with_getrandbits)
    67584    1.761    0.000    5.503    0.000 random.py:285(choice)
     4880    1.642    0.000    9.448    0.002 encoder.py:182(encode)
   161767    1.307    0.000    1.308    0.000 {built-in method builtins.isinstance}
    64656    1.148    0.000    6.401    0.000 bufferoverflow_mutator.py:35(<genexpr>)
   108994    0.924    0.000    0.924    0.000 {method 'getrandbits' of '_random.Random' objects}
    82134    0.681    0.000    0.681    0.000 {method 'bit_length' of 'int' objects}
     3618    0.655    0.000   14.105    0.004 bufferoverflow_mutator.py:11(mutate)
     9117    0.651    0.000    7.056    0.001 {method 'join' of 'str' objects}
76697/76278    0.643    0.000    0.650    0.000 {built-in method builtins.len}
    71018    0.589    0.000    0.589    0.000 {method 'append' of 'list' objects}
      144    0.540    0.004    5.624    0.039 iters.py:72(take)
    43904    0.372    0.000    0.372    0.000 {built-in method _json.encode_basestring_ascii}
    14544    0.281    0.000    1.058    0.000 random.py:200(randrange)
     1501    0.272    0.000    0.272    0.000 {built-in method posix.stat}
    14544    0.264    0.000    1.322    0.000 random.py:244(randint)
     1800    0.214    0.000    1.561    0.001 random_byte_mutator.py:9(byte_flip)
9778/4882    0.160    0.000   13.069    0.003 json_handler.py:31(mutate_structure)
     4880    0.156    0.000    9.654    0.002 __init__.py:183(dumps)
     5490    0.150    0.000   25.831    0.005 json_handler.py:61(generate_input)
     4880    0.137    0.000    0.276    0.000 encoder.py:204(iterencode)
     4880    0.098    0.000    0.139    0.000 encoder.py:259(_make_iterencode)
     3167    0.087    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     3167    0.084    0.000    0.257    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     4896    0.082    0.000   12.828    0.003 json_handler.py:54(mutate_elem)
     4882    0.082    0.000   12.989    0.003 json_handler.py:42(mutate_dict)
   220/66    0.081    0.000    0.329    0.005 sre_parse.py:493(_parse)
      575    0.080    0.000    0.619    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
     6960    0.058    0.000    0.058    0.000 {method 'rstrip' of 'str' objects}
     3224    0.052    0.000    0.080    0.000 sre_parse.py:254(get)
     4881    0.050    0.000    0.050    0.000 encoder.py:104(__init__)
        1    0.048    0.048   52.589   52.589 thisbetterwork.py:3(<module>)
   388/60    0.048    0.000    0.150    0.002 sre_compile.py:71(_compile)
     5338    0.045    0.000    0.045    0.000 {method 'items' of 'dict' objects}
     2346    0.043    0.000    0.064    0.000 sre_parse.py:164(__getitem__)
     4886    0.042    0.000    0.042    0.000 {built-in method builtins.id}
      303    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
     4214    0.039    0.000    0.040    0.000 {built-in method builtins.getattr}
       37    0.036    0.001    0.042    0.001 {built-in method io.open}
     1818    0.035    0.000    1.597    0.001 random_byte_mutator.py:19(mutate)
      606    0.035    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
  352/325    0.034    0.000    0.983    0.003 <frozen importlib._bootstrap>:890(_find_spec)
      342    0.034    0.000    0.152    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     3767    0.034    0.000    0.034    0.000 {method 'startswith' of 'str' objects}
      303    0.034    0.000    0.034    0.000 {built-in method io.open_code}
  809/803    0.034    0.000    0.515    0.001 {built-in method builtins.__build_class__}
     3801    0.033    0.000    0.033    0.000 sre_parse.py:233(__next)
       25    0.032    0.001    0.145    0.006 enum.py:129(__new__)
       25    0.031    0.001    0.059    0.002 enum.py:171(<setcomp>)
     3275    0.030    0.000    0.030    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
3218/2863    0.028    0.000    0.343    0.000 {built-in method builtins.hasattr}
      228    0.028    0.000    0.054    0.000 functools.py:33(update_wrapper)
