9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3001    3.548    0.001    3.548    0.001 {built-in method posix.read}
     1011    2.918    0.003    2.918    0.003 {built-in method posix.waitpid}
     1001    0.799    0.001    0.799    0.001 {built-in method _posixsubprocess.fork_exec}
     1000    0.476    0.000    2.196    0.002 subprocess.py:1813(_communicate)
     1431    0.363    0.000    0.363    0.000 {built-in method posix.stat}
     1001    0.348    0.000    6.004    0.006 subprocess.py:1550(_execute_child)
     1001    0.254    0.000    0.821    0.001 subprocess.py:1097(_close_pipe_fds)
    19895    0.214    0.000    0.250    0.000 {built-in method builtins.isinstance}
15962/15543    0.156    0.000    0.164    0.000 {built-in method builtins.len}
     2002    0.156    0.000    0.301    0.000 contextlib.py:429(callback)
     2009    0.136    0.000    0.276    0.000 posixpath.py:150(dirname)
     3000    0.130    0.000    0.235    0.000 selectors.py:402(select)
     4000    0.122    0.000    0.212    0.000 selectors.py:21(_fileobj_to_fd)
     1001    0.120    0.000    6.296    0.006 subprocess.py:732(__init__)
     1001    0.111    0.000    8.870    0.009 subprocess.py:448(run)
    11500    0.107    0.000    0.107    0.000 {method 'append' of 'list' objects}
     1001    0.100    0.000    0.195    0.000 contextlib.py:482(__exit__)
   220/66    0.097    0.000    0.388    0.006 sre_parse.py:493(_parse)
     3060    0.096    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     3060    0.089    0.000    0.277    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      553    0.087    0.000    0.754    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
     2013    0.081    0.000    0.093    0.000 {built-in method io.open}
     2000    0.079    0.000    0.294    0.000 selectors.py:234(register)
     4000    0.077    0.000    0.290    0.000 selectors.py:215(_fileobj_lookup)
     4000    0.075    0.000    0.113    0.000 selectors.py:66(__len__)
     7730    0.072    0.000    0.072    0.000 {method 'rstrip' of 'str' objects}
     2000    0.070    0.000    0.384    0.000 selectors.py:351(register)
     3002    0.066    0.000    0.192    0.000 subprocess.py:1772(_wait)
     4012    0.066    0.000    0.066    0.000 {built-in method posix.close}
     2000    0.066    0.000    0.066    0.000 {method 'close' of '_io.BufferedWriter' objects}
     2000    0.065    0.000    0.302    0.000 selectors.py:365(unregister)
     1001    0.064    0.000    2.312    0.002 subprocess.py:980(communicate)
     2000    0.062    0.000    0.218    0.000 selectors.py:247(unregister)
     3224    0.061    0.000    0.095    0.000 sre_parse.py:254(get)
     3002    0.061    0.000    0.253    0.000 subprocess.py:1074(wait)
   388/60    0.057    0.000    0.177    0.003 sre_compile.py:71(_compile)
     5166    0.055    0.000    0.056    0.000 {built-in method builtins.getattr}
      298    0.055    0.000    0.055    0.000 {built-in method io.open_code}
     3010    0.054    0.000    0.054    0.000 {built-in method posix.pipe}
     2002    0.052    0.000    0.079    0.000 contextlib.py:463(_push_exit_callback)
     1001    0.050    0.000    8.952    0.009 subprocess.py:368(check_output)
     2346    0.049    0.000    0.072    0.000 sre_parse.py:164(__getitem__)
     1001    0.048    0.000    0.048    0.000 contextlib.py:385(__init__)
     5000    0.047    0.000    0.047    0.000 subprocess.py:1054(_remaining_time)
     2002    0.046    0.000    0.046    0.000 contextlib.py:379(_create_cb_wrapper)
     1000    0.046    0.000    0.046    0.000 {built-in method posix.write}
     3000    0.046    0.000    0.046    0.000 {method 'poll' of 'select.poll' objects}
     2044    0.045    0.000    0.064    0.000 posixpath.py:41(_get_sep)
     1000    0.045    0.000    0.098    0.000 selectors.py:347(__init__)
     1001    0.044    0.000    0.091    0.000 subprocess.py:907(__exit__)
      298    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
     1035    0.043    0.000    0.073    0.000 os.py:798(fsencode)
     2000    0.042    0.000    0.062    0.000 <string>:1(__new__)
     3826    0.040    0.000    0.044    0.000 {method 'join' of 'str' objects}
     3801    0.040    0.000    0.040    0.000 sre_parse.py:233(__next)
      596    0.039    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     2002    0.039    0.000    0.063    0.000 contextlib.py:381(_exit_wrapper)
  344/317    0.038    0.000    1.168    0.004 <frozen importlib._bootstrap>:890(_find_spec)
     4000    0.038    0.000    0.038    0.000 selectors.py:272(get_map)
  777/771    0.038    0.000    0.591    0.001 {built-in method builtins.__build_class__}
     2002    0.037    0.000    0.037    0.000 {method 'close' of '_io.BufferedReader' objects}
      335    0.037    0.000    0.169    0.001 <frozen importlib._bootstrap>:477(_init_module_attrs)
      300    0.037    0.000    0.037    0.000 {method 'read' of '_io.BufferedReader' objects}
     4005    0.037    0.000    0.037    0.000 {built-in method posix.fspath}
     1001    0.036    0.000    0.064    0.000 subprocess.py:1706(_handle_exitstatus)
     3764    0.036    0.000    0.036    0.000 {method 'startswith' of 'str' objects}
     1001    0.035    0.000    0.070    0.000 subprocess.py:1457(_get_handles)
      298    0.034    0.000    0.396    0.001 <frozen importlib._bootstrap_external>:849(get_code)
3149/2794    0.032    0.000    0.404    0.000 {built-in method builtins.hasattr}
       25    0.032    0.001    0.062    0.002 enum.py:171(<setcomp>)
       25    0.032    0.001    0.150    0.006 enum.py:129(__new__)
     3157    0.032    0.000    0.032    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1000    0.031    0.000    0.043    0.000 selectors.py:209(__init__)
       68    0.031    0.000    0.070    0.001 __init__.py:313(namedtuple)
      228    0.031    0.000    0.059    0.000 functools.py:33(update_wrapper)
     3000    0.031    0.000    0.031    0.000 selectors.py:275(_key_from_fd)
        1    0.030    0.030    9.010    9.010 simpledimple.py:29(task)
    364/5    0.030    0.000    3.429    0.686 <frozen importlib._bootstrap>:986(_find_and_load)
      321    0.029    0.000    0.836    0.003 <frozen importlib._bootstrap_external>:1302(_get_spec)
     3000    0.028    0.000    0.028    0.000 subprocess.py:1062(_check_timeout)
     1416    0.028    0.000    0.390    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      415    0.028    0.000    0.085    0.000 enum.py:64(__setitem__)
     2480    0.027    0.000    0.029    0.000 {built-in method __new__ of type object at 0xabff60}
     2002    0.027    0.000    0.027    0.000 {method 'append' of 'collections.deque' objects}
     2771    0.027    0.000    0.027    0.000 {method 'rpartition' of 'str' objects}
     1000    0.027    0.000    8.968    0.009 io_controller.py:86(run)
      894    0.027    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       13    0.025    0.002    0.119    0.009 enum.py:451(<listcomp>)
      574    0.025    0.000    0.054    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    338/5    0.024    0.000    3.400    0.680 <frozen importlib._bootstrap>:650(_load_unlocked)
     2411    0.024    0.000    0.024    0.000 {method 'pop' of 'dict' objects}
     1000    0.023    0.000    0.033    0.000 selectors.py:268(close)
